user_id,gender,age_group,diet,vegetarian,allergy
user_001,0,0,False,False,[]
user_002,1,0,False,False,[]
user_003,1,3,True,False,[]
user_004,1,0,True,True,"['Meat_5', 'Vegtable_3']"
user_005,0,0,True,False,[]
user_006,0,2,False,False,[]
user_007,0,1,False,False,[]
user_008,1,2,True,False,[]
user_009,1,0,False,False,[]
user_010,1,1,False,False,[]
user_011,0,0,False,False,[]
user_012,1,0,True,False,[]
user_013,1,3,True,False,[]
user_014,0,0,False,True,[]
user_015,0,1,True,False,[]
user_016,0,1,True,False,[]
user_017,0,1,False,False,[]
user_018,1,2,False,False,[]
user_019,0,0,True,False,[]
user_020,0,1,False,False,[]
user_021,1,3,False,False,[]
user_022,0,1,False,False,[]
user_023,0,3,True,False,[]
user_024,0,0,True,False,[]
user_025,0,1,True,False,[]
user_026,1,0,False,False,[]
user_027,0,2,True,False,[]
user_028,1,3,True,False,[]
user_029,1,0,False,False,[]
user_030,0,1,True,True,[]
user_031,1,0,False,True,[]
user_032,0,1,False,False,[]
user_033,0,1,False,False,[]
user_034,1,3,False,False,[]
user_035,1,1,False,False,[]
user_036,1,1,False,False,[]
user_037,0,0,False,False,[]
user_038,0,0,True,False,[]
user_039,1,0,False,False,"['Vegtable_2', 'Meat_3', 'Vegtable_4']"
user_040,0,0,False,False,[]
user_041,0,2,False,False,[]
user_042,0,1,True,True,[]
user_043,0,1,False,False,[]
user_044,1,0,False,False,[]
user_045,0,2,True,True,[]
user_046,1,2,False,False,[]
user_047,0,0,False,False,[]
user_048,1,2,False,False,[]
user_049,1,1,True,False,[]
user_050,0,0,False,False,[]
user_051,1,1,True,False,"['Meat_1', 'Vegtable_1', 'Bread_1']"
user_052,1,1,False,False,"['Meat_2', 'Vegtable_5']"
user_053,1,0,True,False,[]
user_054,1,3,True,True,[]
user_055,1,2,True,False,[]
user_056,1,1,False,False,[]
user_057,0,1,True,True,[]
user_058,0,1,False,False,"['Bread_3', 'Source_1', 'Meat_2']"
user_059,0,1,False,True,[]
user_060,0,1,False,True,[]
user_061,0,0,True,False,[]
user_062,0,1,True,True,[]
user_063,1,2,True,False,"['Bread_5', 'Meat_3', 'Vegtable_4']"
user_064,0,1,False,False,[]
user_065,0,0,False,False,[]
user_066,1,2,True,False,[]
user_067,0,0,False,False,[]
user_068,1,0,False,False,[]
user_069,0,0,False,False,[]
user_070,1,1,False,True,[]
user_071,1,2,False,False,[]
user_072,0,1,False,False,[]
user_073,0,0,False,True,[]
user_074,1,2,False,False,[]
user_075,1,2,True,False,[]
user_076,1,2,False,False,[]
user_077,1,0,False,False,[]
user_078,0,1,False,False,[]
user_079,0,3,False,False,[]
user_080,0,2,True,False,[]
user_081,1,0,True,True,[]
user_082,1,0,False,False,[]
user_083,0,1,False,False,[]
user_084,0,3,True,False,[]
user_085,0,1,True,False,[]
user_086,0,1,False,True,[]
user_087,1,0,False,False,[]
user_088,1,1,False,False,[]
user_089,1,2,True,False,[]
user_090,0,1,False,False,[]
user_091,0,2,True,False,[]
user_092,1,3,False,False,[]
user_093,1,0,False,True,[]
user_094,1,1,False,False,[]
user_095,1,0,False,False,[]
user_096,0,2,False,False,[]
user_097,1,1,False,False,[]
user_098,0,1,False,False,[]
user_099,0,2,True,False,[]
user_100,0,1,False,False,[]
user_101,0,3,False,False,[]
user_102,1,1,True,False,[]
user_103,0,0,True,False,"['Source_3', 'Source_2']"
user_104,1,1,True,False,[]
user_105,1,2,True,False,[]
user_106,0,1,False,False,[]
user_107,0,2,False,False,[]
user_108,1,3,True,False,['Bread_3']
user_109,0,0,False,True,[]
user_110,0,3,False,False,[]
user_111,0,0,True,False,[]
user_112,0,0,False,False,[]
user_113,1,0,False,False,[]
user_114,1,2,False,False,[]
user_115,1,1,False,False,[]
user_116,1,0,False,False,[]
user_117,1,1,False,False,[]
user_118,0,1,True,False,[]
user_119,1,0,False,False,[]
user_120,1,2,False,False,[]
user_121,1,2,True,False,"['Bread_2', 'Vegtable_4', 'Meat_2']"
user_122,1,1,True,False,[]
user_123,0,3,True,False,[]
user_124,0,1,True,False,[]
user_125,0,3,False,False,[]
user_126,0,1,False,False,[]
user_127,1,1,False,False,[]
user_128,1,0,False,False,[]
user_129,0,2,False,False,[]
user_130,1,1,False,False,[]
user_131,0,0,True,False,[]
user_132,0,0,False,False,[]
user_133,0,1,False,False,[]
user_134,0,1,False,False,[]
user_135,1,2,False,False,[]
user_136,0,2,False,False,[]
user_137,1,0,True,False,[]
user_138,1,2,False,False,"['Meat_5', 'Vegtable_2', 'Meat_4']"
user_139,0,0,False,False,['Meat_1']
user_140,1,2,False,True,[]
user_141,1,2,True,False,[]
user_142,0,1,False,False,[]
user_143,0,2,False,False,[]
user_144,0,1,False,False,[]
user_145,0,1,False,True,[]
user_146,0,2,True,False,[]
user_147,1,1,True,False,"['Bread_3', 'Source_4']"
user_148,1,1,False,False,[]
user_149,0,1,True,False,[]
user_150,0,2,True,False,[]
user_151,1,1,True,False,[]
user_152,0,0,True,False,"['Source_4', 'Meat_1']"
user_153,0,2,False,False,[]
user_154,0,2,False,False,"['Source_4', 'Meat_1']"
user_155,1,0,False,False,[]
user_156,0,0,True,True,[]
user_157,1,0,False,False,[]
user_158,1,1,True,False,['Source_3']
user_159,0,1,True,False,"['Bread_3', 'Meat_1', 'Vegtable_2']"
user_160,1,2,False,True,[]
user_161,0,1,True,False,[]
user_162,1,1,False,True,[]
user_163,1,1,False,False,[]
user_164,1,2,True,False,[]
user_165,0,1,False,False,"['Bread_3', 'Meat_5']"
user_166,1,3,True,False,[]
user_167,0,1,True,False,[]
user_168,0,0,False,False,[]
user_169,0,1,False,False,[]
user_170,1,1,False,False,[]
user_171,1,1,False,False,[]
user_172,0,0,True,False,[]
user_173,1,0,False,False,[]
user_174,0,2,False,False,[]
user_175,1,0,False,False,['Source_4']
user_176,0,2,False,False,[]
user_177,1,0,True,False,"['Source_1', 'Meat_3', 'Meat_5']"
user_178,0,1,False,True,[]
user_179,1,1,True,False,['Vegtable_5']
user_180,0,1,False,False,[]
user_181,0,1,True,False,"['Meat_5', 'Source_5', 'Bread_4']"
user_182,0,0,False,False,[]
user_183,1,0,False,False,[]
user_184,1,1,True,False,[]
user_185,0,1,False,False,[]
user_186,1,3,True,True,[]
user_187,1,2,False,True,[]
user_188,1,2,False,False,[]
user_189,1,2,False,False,[]
user_190,0,1,True,False,[]
user_191,0,0,False,False,[]
user_192,1,3,False,False,[]
user_193,1,1,False,False,[]
user_194,1,1,False,False,"['Meat_3', 'Vegtable_1', 'Source_1']"
user_195,0,0,False,False,[]
user_196,0,1,True,False,[]
user_197,1,1,True,True,"['Source_3', 'Vegtable_4', 'Source_5']"
user_198,1,2,True,False,[]
user_199,1,1,True,False,[]
user_200,1,1,False,False,[]
user_201,1,3,True,False,[]
user_202,0,0,False,False,[]
user_203,0,1,False,True,[]
user_204,1,0,False,False,[]
user_205,1,2,False,True,[]
user_206,0,3,True,False,[]
user_207,0,0,False,False,[]
user_208,1,2,False,False,[]
user_209,0,0,False,False,[]
user_210,0,3,True,False,[]
user_211,1,2,False,False,[]
user_212,1,2,False,False,[]
user_213,1,0,False,False,[]
user_214,0,3,True,False,[]
user_215,1,2,False,True,[]
user_216,0,1,False,True,[]
user_217,0,2,False,False,[]
